 NS  KS  AS  CS  KI  AI  CI 
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4242E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4240E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4239E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4238E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4237E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4236E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4235E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4234E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4233E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4233E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4232E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4232E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4231E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
