 NS  KS  AS  CS  KI  AI  CI 
 0.7782E-00008  0.2433E+00004  0.4123E+00004  0.3566E+00003  0.2224E+00004  0.5980E+00002  0.8587E-00003
 0.7233E-00008  0.2273E+00004  0.3980E+00004  0.3395E+00003  0.2096E+00004  0.5534E+00002  0.7847E-00003
 0.6722E-00008  0.2124E+00004  0.3842E+00004  0.3233E+00003  0.1976E+00004  0.5121E+00002  0.7171E-00003
 0.6248E-00008  0.1985E+00004  0.3708E+00004  0.3079E+00003  0.1863E+00004  0.4738E+00002  0.6553E-00003
 0.5807E-00008  0.1856E+00004  0.3579E+00004  0.2932E+00003  0.1756E+00004  0.4384E+00002  0.5988E-00003
 0.5397E-00008  0.1734E+00004  0.3455E+00004  0.2793E+00003  0.1655E+00004  0.4057E+00002  0.5472E-00003
 0.5016E-00008  0.1621E+00004  0.3335E+00004  0.2660E+00003  0.1560E+00004  0.3754E+00002  0.5000E-00003
 0.4662E-00008  0.1515E+00004  0.3219E+00004  0.2534E+00003  0.1471E+00004  0.3474E+00002  0.4569E-00003
 0.4333E-00008  0.1416E+00004  0.3107E+00004  0.2415E+00003  0.1386E+00004  0.3214E+00002  0.4175E-00003
 0.4028E-00008  0.1323E+00004  0.2999E+00004  0.2301E+00003  0.1307E+00004  0.2974E+00002  0.3816E-00003
 0.3743E-00008  0.1237E+00004  0.2895E+00004  0.2193E+00003  0.1232E+00004  0.2752E+00002  0.3487E-00003
 0.3479E-00008  0.1156E+00004  0.2794E+00004  0.2090E+00003  0.1161E+00004  0.2547E+00002  0.3186E-00003
 0.3234E-00008  0.1081E+00004  0.2697E+00004  0.1992E+00003  0.1095E+00004  0.2357E+00002  0.2912E-00003
 0.3005E-00008  0.1010E+00004  0.2603E+00004  0.1899E+00003  0.1032E+00004  0.2181E+00002  0.2661E-00003
 0.2793E-00008  0.9445E+00003  0.2513E+00004  0.1810E+00003  0.9727E+00003  0.2018E+00002  0.2431E-00003
 0.2596E-00008  0.8829E+00003  0.2426E+00004  0.1726E+00003  0.9169E+00003  0.1867E+00002  0.2222E-00003
 0.2413E-00008  0.8254E+00003  0.2341E+00004  0.1646E+00003  0.8643E+00003  0.1728E+00002  0.2030E-00003
 0.2243E-00008  0.7716E+00003  0.2260E+00004  0.1570E+00003  0.8148E+00003  0.1599E+00002  0.1855E-00003
 0.2084E-00008  0.7214E+00003  0.2181E+00004  0.1497E+00003  0.7680E+00003  0.1479E+00002  0.1695E-00003
 0.1937E-00008  0.6744E+00003  0.2106E+00004  0.1428E+00003  0.7240E+00003  0.1369E+00002  0.1549E-00003
 0.1801E-00008  0.6306E+00003  0.2032E+00004  0.1407E+00003  0.6825E+00003  0.1267E+00002  0.1416E-00003
 0.1674E-00008  0.5895E+00003  0.1962E+00004  0.1385E+00003  0.6433E+00003  0.1172E+00002  0.1294E-00003
 0.1555E-00008  0.5507E+00003  0.1894E+00004  0.1364E+00003  0.6064E+00003  0.1084E+00002  0.1182E-00003
 0.1446E-00008  0.5144E+00003  0.1829E+00004  0.1342E+00003  0.5717E+00003  0.1004E+00002  0.1080E-00003
 0.1344E-00008  0.4806E+00003  0.1766E+00004  0.1320E+00003  0.5389E+00003  0.9286E+00001  0.9872E-00004
 0.1249E-00008  0.4490E+00003  0.1705E+00004  0.1299E+00003  0.5080E+00003  0.8592E+00001  0.9854E-00004
 0.1161E-00008  0.4195E+00003  0.1646E+00004  0.1278E+00003  0.4788E+00003  0.7951E+00001  0.9837E-00004
 0.1079E-00008  0.3919E+00003  0.1589E+00004  0.1256E+00003  0.4514E+00003  0.7357E+00001  0.9819E-00004
 0.1003E-00008  0.3661E+00003  0.1534E+00004  0.1235E+00003  0.4255E+00003  0.6808E+00001  0.9801E-00004
 0.9319E-00009  0.3420E+00003  0.1481E+00004  0.1215E+00003  0.4011E+00003  0.6299E+00001  0.9784E-00004
 0.8661E-00009  0.3195E+00003  0.1430E+00004  0.1194E+00003  0.3781E+00003  0.5829E+00001  0.9766E-00004
 0.8050E-00009  0.2985E+00003  0.1380E+00004  0.1173E+00003  0.3564E+00003  0.5394E+00001  0.9748E-00004
 0.7482E-00009  0.2789E+00003  0.1333E+00004  0.1153E+00003  0.3360E+00003  0.4991E+00001  0.9731E-00004
 0.6954E-00009  0.2605E+00003  0.1287E+00004  0.1133E+00003  0.3167E+00003  0.4618E+00001  0.9713E-00004
